candidate_id,wavelength_nm,source_position_label,source_x_nm,source_y_nm,q_nm,cone_half_angle_deg,R_power_incoh,L_power_incoh,L_fraction_incoh,DoCP_RminusL_incoh,total_cone_power_incoh,status,data_source,position_id
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,0.0,0.0,107.9769465,5.0,1.2635802855935891e-12,5.404590468328157e-12,0.8105057095530374,-0.6210114191060747,6.668170753921746e-12,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,0.0,0.0,107.9769465,10.0,5.4478710058525905e-12,2.2317057398864877e-11,0.8037858795657129,-0.6075717591314259,2.7764928404717467e-11,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,0.0,0.0,107.9769465,20.0,2.6629887673050484e-11,8.397496112716709e-11,0.7592339941519987,-0.5184679883039974,1.1060484880021757e-10,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_plus_q,107.9769465,0.0,107.9769465,5.0,5.246111198641135e-13,2.7346602396860143e-12,0.8390403676186923,-0.6780807352373847,3.259271359550128e-12,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_plus_q,107.9769465,0.0,107.9769465,10.0,2.839217770287237e-12,1.2078507769577111e-11,0.8096748889299478,-0.6193497778598955,1.4917725539864348e-11,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_plus_q,107.9769465,0.0,107.9769465,20.0,1.7086450406236207e-11,3.9991688680552827e-11,0.7006480820922395,-0.401296164184479,5.7078139086789034e-11,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_minus_q,-107.9769465,0.0,107.9769465,5.0,7.37410044790643e-13,3.34974548190166e-12,0.8195786678596441,-0.6391573357192883,4.087155526692303e-12,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_minus_q,-107.9769465,0.0,107.9769465,10.0,4.2413869678406385e-12,1.3180966235685325e-11,0.7565548741726656,-0.5131097483453314,1.7422353203525965e-11,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,453.0,x_minus_q,-107.9769465,0.0,107.9769465,20.0,1.696409961076371e-11,4.574283337746494e-11,0.7294701111606238,-0.45894022232124754,6.270693298822865e-11,ok,reused_453_position_scan,
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,,,,5.0,1.5218937620272637e-12,5.141269978858626e-12,0.7715959233166131,-0.5431918466332263,6.66316374088589e-12,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,,,,5.0,1.558293660357561e-12,5.352160978307881e-12,0.7745020057524752,-0.5490040115049504,6.910454638665442e-12,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,,,,5.0,1.4616586107541053e-12,5.405636124199891e-12,0.7871565635133764,-0.5743131270267527,6.867294734953997e-12,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,,,5.0,1.2635802855935891e-12,5.404590468328157e-12,0.8105057095530374,-0.6210114191060747,6.668170753921746e-12,ok,reused_center_spectral_scan,
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,,,,5.0,1.2071323823993496e-12,5.37503968509244e-12,0.8166057693384882,-0.6332115386769764,6.582172067491789e-12,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,,,,10.0,6.145458953778393e-12,2.1534153679906128e-11,0.7779788671500512,-0.5559577343001023,2.767961263368452e-11,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,,,,10.0,6.270609750259804e-12,2.2303307554935213e-11,0.7805477742766566,-0.5610955485533132,2.8573917305195018e-11,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,,,,10.0,5.986369789791002e-12,2.236004855290757e-11,0.788813891144277,-0.577627782288554,2.8346418342698573e-11,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,,,10.0,5.4478710058525905e-12,2.2317057398864877e-11,0.8037858795657129,-0.6075717591314259,2.7764928404717467e-11,ok,reused_center_spectral_scan,
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,,,,10.0,5.2903699609164695e-12,2.2243677004485925e-11,0.807860792582942,-0.6157215851658839,2.7534046965402393e-11,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,,,,20.0,2.6996579156318505e-11,8.16258196276667e-11,0.7514639755838391,-0.5029279511676783,1.086223987839852e-10,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,,,,20.0,2.7723009109696855e-11,8.426621623916828e-11,0.7524493180184518,-0.5048986360369035,1.1198922534886513e-10,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,450.0,center,,,,20.0,2.7387767498206526e-11,8.41992481593193e-11,0.7545613408798123,-0.5091226817596246,1.1158701565752583e-10,ok,reused_center_spectral_scan,center
BW2_J1J2_D194_T90_PSI99_H525,453.0,center,,,,20.0,2.6629887673050484e-11,8.397496112716709e-11,0.7592339941519987,-0.5184679883039974,1.1060484880021757e-10,ok,reused_center_spectral_scan,
BW2_J1J2_D194_T90_PSI99_H525,454.0,center,,,,20.0,2.6384992787452284e-11,8.387196107422743e-11,0.7606954313235158,-0.5213908626470316,1.1025695386167971e-10,ok,reused_center_spectral_scan,center
