candidate_id,original_target_bin_deg,wavelength_nm,selected_phase_deg,nearest_actual_bin_deg,phase_error_to_actual_bin_deg,target_Tx,y_leakage,conversion_to_leakage_ratio,matrix_error,pass_level_as_original,pass_level_as_reassigned,reassignment_recommendation
H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,300,451,81.431182,60,21.431182,0.775726,0.225725,3.436597,0.539458,fail,loose,candidate_for_B60
H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,300,452,60.849280,60,0.849280,0.910498,0.050876,17.896315,0.236421,fail,strict,candidate_for_B60
H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,300,453,47.018918,60,12.981082,0.977418,0.000197,4960.092834,0.014623,fail,strict,candidate_for_B60
H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,300,451,84.596581,60,24.596581,0.752180,0.066690,11.278722,0.297811,fail,strict,candidate_for_B60
H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,300,452,64.253043,60,4.253043,0.917411,0.048135,19.059214,0.229100,fail,strict,candidate_for_B60
H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,300,453,49.414944,60,10.585056,0.967025,0.000206,4701.064069,0.015014,fail,strict,candidate_for_B60
H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,300,451,69.214158,60,9.214158,0.888379,0.313510,2.833655,0.594069,fail,fail,do_not_promote
H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,300,452,53.374611,60,6.625389,0.963272,0.063008,15.288146,0.255779,fail,strict,candidate_for_B60
H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,300,453,40.094942,60,19.905058,0.988622,0.000959,1031.191778,0.031275,fail,strict,candidate_for_B60
H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,300,451,84.034639,60,24.034639,0.752968,0.094769,7.945334,0.354796,fail,strict,candidate_for_B60
H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,300,452,64.245198,60,4.245198,0.914223,0.049185,18.587357,0.231976,fail,strict,candidate_for_B60
H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,300,453,48.583340,60,11.416660,0.965624,0.000045,21326.621564,0.007338,fail,strict,candidate_for_B60
H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,300,451,39.860401,60,20.139599,1.068478,0.116796,9.148207,0.330634,fail,strict,candidate_for_B60
H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,300,452,34.623998,60,25.376002,0.956956,0.039418,24.277230,0.202969,fail,loose,candidate_for_B60
H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,300,453,22.239089,0,22.239089,1.019091,0.000004,265880.348910,0.002621,fail,strict,candidate_for_B0
H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,300,451,32.575534,60,27.424466,1.050673,0.136860,7.677013,0.360924,fail,loose,candidate_for_B60
H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,300,452,18.861250,0,18.861250,0.952918,0.047989,19.856854,0.224415,fail,strict,candidate_for_B0
H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,300,453,16.387397,0,16.387397,1.014645,0.000181,5603.508832,0.013430,fail,strict,candidate_for_B0
